2021,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Income - Salary,255000,120000,120000,120000,120000,120000,130000,130000,130000,130000,130000,130000
Income - Bank Interests,9349.33,9418.16,9428.37,9456.76,4014,0,218.5,0,21.42,579.5,45.75,33.07
Income - Business,7000,7000,6400,3252500,2000,11925.2,22600,9760,6000,369850,10570,63675
Expense - Family/Home,8225,28105,3915,30083,17567.28,8390,5515,4920,6010,5414,14415,10045
Expense - Foods,10540,7402,12231.5,7203,6741,11275,15656.79,6040,1360,10390,3635,8485
Expense - Car,0,0,0,3017570,24338.34,26178.34,71848.34,31908.34,17708.34,264228.34,26595.3,57828.34
Expense - Transports,1267,4100,18577,12091,19740,13550,18990,7850,1100,20265,9350,17630
Expense - Reloads/Router,5200,3305,3000,4000,0,5500,2600,2800,5100,5900,5600,6350
Expense - Phone/Subscriptions,90563.97,586.43,800.34,6461.08,807.26,810.25,911.59,814.17,893.32,844.07,828.06,838.56
Expense - Property ,0,0,0,0,80000,0,0,0,0,0,0,0
Expense - Health,100,960,1325,0,90,0,0,2580,0,490,0,1290
Expense - Fashion,650,6870,12860,0,170,8080,0,520,4730,8500,200,3050
Expense - Trips,2600,8195,60,3000,0,0,0,0,0,0,2750,19620
Expense - Party/Gifts,0,5010,24280,5350,5450,500,500,0,0,7485,1830,15000
Expense - Office,275,275,275,275,275,275,275,16400,0,70,2500,2500
Expense - Education ,0,9812.64,2750,0,0,0,0,0,0,0,0,0
Expense - Sports,3300,1300,5500,1570,500,0,0,400,0,0,900,385
Expense - Donations,1000,0,2000,6540,6216,1000,1115,150,0,1331,1025,4342
Expense - Bank Expenses,250,700,1600,24379.45,50344.45,50744.45,50358.45,50344.45,50344.45,50369.45,55596.45,54369.45
Expense - Finance,0,0,0,94380,4745.67,4675.67,4675.67,4675.67,4675.67,4675.67,4675.67,4675.67
Expense - Others,1220,370,245,370,385,360,280,350,240,1160,364,661
