doc_path,chunk_id,content,model
kb\raw\categories\Bank_Expenses.md,0,"# Category: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,1,"Category: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,2,"Category: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,3,"ategory: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,4,"tegory: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,5,"egory: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,6,"gory: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,7,"ory: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,8,"ry: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,9,"y: Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,10,": Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,11,"Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,12,"Bank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,13,"ank Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,14,"nk Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,15,"k Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,16,"Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,17,"Expenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,18,"xpenses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,19,"penses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,20,"enses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,21,"nses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,22,"ses
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,23,"es
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,24,"s
- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,25,"- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,26,"- Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,27,"Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,28,"Lifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,29,"ifetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,30,"fetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,31,"etime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,32,"time expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,33,"ime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,34,"me expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,35,"e expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
